game,random,human,dqn,printed_normalized_dqn_pct
alien,227.8,6875,3069,42.7
amidar,5.8,1676,739.5,43.9
assault,222.4,1496,3359,246.2
asterix,210,8503,6012,70.0
asteroids,719.1,13157,1629,7.3
atlantis,12850,29028,85641,449.9
bank_heist,14.2,734.4,429.7,57.7
battle_zone,2360,37800,26300,67.6
beam_rider,363.9,5775,6846,119.8
bowling,23.1,154.8,42.4,14.7
boxing,0.1,4.3,71.8,1707.9
breakout,1.7,31.8,401.2,1327.2
centipede,2091,11963,8309,63.0
chopper_command,811,9882,6687,64.8
crazy_climber,10781,35411,114103,419.5
demon_attack,152.1,3401,9711,294.2
double_dunk,-18.6,-15.5,-18.1,17.1
enduro,0,309.6,301.8,97.5
fishing_derby,-91.7,5.5,-0.8,93.5
freeway,0,29.6,30.3,102.4
frostbite,65.2,4335,328.3,6.2
gopher,257.6,2321,8520,400.4
gravitar,173,2672,306.7,5.3
hero,1027,25763,19950,76.5
ice_hockey,-11.2,0.9,-1.6,79.3
jamesbond,29,406.7,576.7,145.0
kangaroo,52,3035,6740,224.2
krull,1598,2395,3805,277.0
kung_fu_master,258.5,22736,23270,102.4
montezuma_revenge,0,4367,0,0.0
ms_pacman,307.3,15693,2311,13.0
name_this_game,2292,4076,7257,278.3
pong,-20.7,9.3,18.9,132.0
private_eye,24.9,69571,1788,2.5
qbert,163.9,13455,10596,78.5
riverraid,1339,13513,8316,57.3
road_runner,11.5,7845,18257,232.9
robotank,2.2,11.9,51.6,509.0
seaquest,68.4,20182,5286,25.9
space_invaders,148,1652,1976,121.5
star_gunner,664,10250,57997,598.1
tennis,-23.8,-8.9,-2.5,143.2
time_pilot,3568,5925,5947,100.9
tutankham,11.4,167.6,186.7,112.2
up_n_down,533.4,9082,8456,92.7
venture,0,1188,380.0,32.0
video_pinball,16257,17298,42684,2539.4
wizard_of_wor,563.5,4757,3393,67.5
zaxxon,32.5,9173,4977,54.1
