Game,Rainbow,PQN
Alien,9491.70,6970.42
Amidar,5131.20,1408.15
Assault,14198.50,20089.42
Asterix,428200.30,38708.98
Asteroids,2712.80,45573.75
Atlantis,826659.50,845520.83
BankHeist,1358.00,1431.25
BattleZone,62010.00,54791.67
BeamRider,16850.20,23338.83
Berzerk,2545.60,18542.20
Bowling,30.00,28.71
Boxing,99.60,99.63
Breakout,417.50,515.08
Centipede,8167.30,11347.98
ChopperCommand,16654.00,129962.50
CrazyClimber,168788.50,171579.17
Defender,55105.00,140741.67
DemonAttack,111185.20,133075.21
DoubleDunk,-0.30,-0.92
Enduro,2125.90,2349.17
FishingDerby,31.30,46.17
Freeway,34.00,33.75
Frostbite,9590.50,7313.54
Gopher,70354.60,60259.17
Gravitar,1419.30,1158.33
Hero,55887.40,26099.17
IceHockey,1.10,0.17
Jamesbond,20000.00,3254.17
Kangaroo,14637.50,14116.67
Krull,8741.50,10853.33
KungFuMaster,52181.00,41033.33
MontezumaRevenge,384.00,0.00
MsPacman,5380.40,5567.50
NameThisGame,13136.00,20603.33
Phoenix,108528.60,252173.33
Pitfall,0.00,-89.21
Pong,20.90,20.92
PrivateEye,4234.00,100.00
Qbert,33817.50,31716.67
Riverraid,20000.00,28764.27
RoadRunner,62041.00,109742.71
Robotank,61.40,73.96
Seaquest,15898.90,11345.00
Skiing,-12957.80,-29975.31
Solaris,3560.30,2607.50
SpaceInvaders,18789.00,18450.83
StarGunner,127029.00,331300.00
Surround,9.70,5.88
Tennis,0.00,-1.04
TimePilot,12926.00,21950.00
Tutankham,241.00,264.71
UpNDown,100000.00,308327.92
Venture,5.50,76.04
VideoPinball,533936.50,489716.33
WizardOfWor,17862.50,30192.71
YarsRevenge,102557.00,129463.79
Zaxxon,22209.50,23537.50
